159001.SZ	易方达保证金货币A
159005.SZ	汇添富收益快钱货币A
159101.SZ	华夏国证港股通科技ETF
159109.SZ	景顺长城恒生港股通50ETF
159117.SZ	鹏华港股通低波红利ETF
159118.SZ	华夏标普港股通低波红利ETF
159120.SZ	国联安港股通科技ETF
159121.SZ	易方达恒生港股通汽车主题ETF
159125.SZ	招商国证港股通科技ETF
159126.SZ	南方中证港股通50ETF
159127.SZ	南方中证港股通高股息投资ETF
159128.SZ	天弘国证港股通科技ETF
159131.SZ	华宝中证港股通信息技术综合ETF
159137.SZ	华宝中证港股通医疗主题ETF
159152.SZ	平安恒生港股通科技主题ETF
159210.SZ	汇添富中证港股通汽车产业主题ETF
159217.SZ	港股通创新药ETF工银
159220.SZ	华宝标普港股通低波红利ETF
159239.SZ	富国恒生港股通汽车主题ETF
159245.SZ	富国国证港股通消费主题ETF
159251.SZ	万家国证港股通科技ETF
159262.SZ	广发恒生港股通科技主题ETF
159265.SZ	鹏华国证港股通消费主题ETF
159266.SZ	港股通央企红利ETF
159268.SZ	汇添富国证港股通消费主题ETF
159269.SZ	南方中证港股通科技ETF
159277.SZ	富国中证港股通高股息投资ETF
159280.SZ	汇添富国证港股通互联网ETF
159281.SZ	天弘中证港股通央企红利ETF
159285.SZ	华安国证港股通消费主题ETF
159286.SZ	鹏华国证港股通创新药ETF
159297.SZ	南方国证港股通创新药ETF
159312.SZ	广发恒指港股通ETF
159315.SZ	黄金股ETF工银
159316.SZ	易方达恒生港股通创新药ETF
159318.SZ	恒生港股通ETF
159321.SZ	华安中证沪深港黄金产业股票ETF
159322.SZ	平安中证沪深港黄金产业ETF
159323.SZ	华夏中证港股通汽车产业主题ETF
159331.SZ	国泰中证港股通高股息投资ETF
159333.SZ	万家中证港股通央企红利ETF
159365.SZ	富国恒指港股通ETF
159506.SZ	富国恒生港股通创新药及医疗保健ETF
159545.SZ	易方达恒生港股通高股息低波动ETF
159562.SZ	华夏中证沪深港黄金产业股票ETF
159568.SZ	博时港股通互联网ETF
159569.SZ	景顺长城国证港股通红利低波动率ETF
159570.SZ	汇添富国证港股通创新药ETF
159636.SZ	港股通科技30ETF工银
159649.SZ	华安中债1-5年国开行债券ETF
159651.SZ	平安中债-0-3年国开行债券ETF
159711.SZ	华夏中证港股通50ETF
159712.SZ	国泰中证港股通50ETF
159726.SZ	华夏恒生港股通中国内地企业高股息率ETF
159776.SZ	港股通医药ETF
159788.SZ	易方达中证港股通中国100ETF
159792.SZ	富国中证港股通互联网ETF
159812.SZ	前海开源黄金ETF
159915.SZ	易方达创业板ETF
159919.SZ	嘉实沪深300ETF
159934.SZ	易方达黄金ETF
159937.SZ	博时黄金ETF
159949.SZ	华安创业板50ETF
510050.SH	华夏上证50ETF
510300.SH	华泰柏瑞沪深300ETF
510500.SH	南方中证500ETF
511600.SH	华安日日鑫货币H
511620.SH	国泰瞬利货币A
511650.SH	华夏快线货币E
511660.SH	建信现金添益货币H
511670.SH	华泰紫金天天金货币ETFA
511690.SH	大成添益交易型货币E
511700.SH	场内货币
511800.SH	易方达货币E
511810.SH	南方理财金货币ETF
511820.SH	鹏华添利交易型货币B
511830.SH	华泰货币
511860.SH	博时保证金货币ETF
511880.SH	银华日利
511900.SH	富国收益宝交易型货币H
511910.SH	融通易支付货币E
511920.SH	广发货币E
511950.SH	广发添利货币A
511960.SH	嘉实快线货币H
511970.SH	国寿安保货币E
511980.SH	汇添富添富通货币E
511990.SH	华宝添益A
513020.SH	国泰中证港股通科技ETF
513040.SH	易方达中证港股通互联网ETF
513070.SH	易方达中证港股通消费主题ETF
513090.SH	易方达中证香港证券投资主题(港股通)ETF
513190.SH	华夏中证港股通内地金融ETF
513200.SH	易方达中证港股通医药卫生综合ETF
513230.SH	华夏中证港股通消费主题ETF
513320.SH	易方达恒生港股通新经济ETF
513550.SH	港股通50
513560.SH	兴银中证港股通科技ETF
513630.SH	摩根标普港股通低波红利ETF
513720.SH	国泰中证港股通互联网ETF
513750.SH	广发中证港股通非银ETF
513770.SH	华宝中证港股通互联网ETF
513780.SH	景顺长城中证港股通创新药ETF
513820.SH	汇添富中证港股通高股息投资ETF
513830.SH	嘉实中证港股通高股息投资ETF
513860.SH	海富通中证港股通科技ETF
513900.SH	华安CES港股通精选100ETF
513910.SH	华夏中证港股通央企红利ETF
513920.SH	华安恒生港股通中国央企红利ETF
513980.SH	景顺长城中证港股通科技ETF
513990.SH	招商上证港股通ETF
517400.SH	国泰中证沪深港黄金产业股票ETF
517520.SH	黄金股ETF
518660.SH	黄金ETF工银
518800.SH	国泰黄金ETF
518850.SH	华夏黄金ETF
518880.SH	华安黄金ETF
518890.SH	中银黄金
520510.SH	华夏中证港股通医疗主题ETF
520530.SH	港股通科技ETF东财
520550.SH	招商恒生港股通高股息低波动ETF
520560.SH	华宝港股通恒生中国(香港上市)30ETF
520600.SH	广发中证港股通汽车ETF
520630.SH	广发中证港股通互联网ETF
520650.SH	南方中证港股通互联网ETF
520660.SH	南方中证国新港股通央企红利ETF
520670.SH	嘉实恒生港股通科技主题ETF
520690.SH	博时恒生港股通创新药精选ETF
520700.SH	万家中证港股通创新药ETF
520720.SH	国泰中证港股通汽车产业主题ETF
520770.SH	建信恒指港股通ETF
520780.SH	华宝中证港股通汽车产业主题ETF
520810.SH	易方达中证港股通高股息投资ETF
520820.SH	汇添富恒指港股通ETF
520840.SH	华安恒生港股通科技主题ETF
520850.SH	易方达中证港股通医疗主题ETF
520860.SH	富国中证港股通科技ETF
520880.SH	华宝恒生港股通创新药精选ETF
520900.SH	广发中证国新港股通央企红利ETF
520910.SH	华夏中证港股通互联网ETF
520940.SH	华安恒指港股通ETF
520950.SH	摩根恒生港股通50ETF
520960.SH	嘉实恒指港股通ETF
520970.SH	嘉实中证港股通创新药ETF
520980.SH	汇添富恒生港股通中国科技ETF
520990.SH	景顺长城中证国新港股通央企红利ETF
