ts_code,end_date,current_eps,predicted_eps,predicted_eps_growth,predicted_rev_growth,n_analysts,eps_dispersion
002049.SZ,20250930,1.499,3.0273,1.0195,0.1514,4,0.0654
300836.SZ,20250930,0.5466,1.1316,1.0702,0.3931,30,0.0587
603612.SH,20250930,1.31,2.5899,0.977,0.2243,3,0.2779
002950.SZ,20250930,0.5519,1.0558,0.9131,0.0148,9,0.0594
002024.SZ,20250930,0.0081,0.0063,-0.2178,0.0446,18,0.0001
002642.SZ,20250930,0.0097,0.0084,-0.1315,-0.2442,3,0.0001
600673.SH,20250930,0.309,0.6524,1.1114,0.2304,10,0.0117
600256.SH,20250930,0.1554,0.2043,0.3148,-0.1441,23,0.0147
300725.SZ,20250930,0.5635,0.3217,-0.4291,0.2713,12,0.0004
600490.SH,20250930,0.1058,0.209,0.9757,0.2909,1,0.0
600800.SH,20250930,-0.52,-0.2273,-0.5628,-0.1953,8,0.0013
603106.SH,20250930,0.0342,0.0287,-0.1617,-0.0108,5,0.0012
605167.SH,20250930,0.4,0.3808,-0.048,-0.2188,13,0.0016
002307.SZ,20250930,-0.0774,-0.0415,-0.4634,0.4177,6,0.0002
300913.SZ,20250930,0.44,0.8182,0.8595,0.1437,2,0.0525
300123.SZ,20250930,-0.0968,-0.0594,-0.3864,-0.0933,1,0.0024
603208.SH,20250930,-0.24,-0.1435,-0.4021,-0.4476,6,0.0058
600569.SH,20250930,0.02,0.0126,-0.3679,-0.0504,2,0.0017
002318.SZ,20250930,1.33,1.0619,-0.2016,0.3685,3,0.0714
688615.SH,20250930,2.51,1.5271,-0.3916,0.2581,1,0.0098
600058.SH,20250930,0.06,0.0287,-0.5211,-0.1807,2,0.0011
000048.SZ,20250930,0.5655,0.2612,-0.5381,-0.1912,3,0.0127
688197.SH,20250930,-1.04,-0.4812,-0.5373,-0.5189,2,0.0284
603980.SH,20250930,0.02,0.0113,-0.4342,-0.085,3,0.0007
300050.SZ,20250930,0.028,0.0205,-0.2664,-0.1384,8,0.0009
002195.SZ,20250930,0.0321,0.0177,-0.4485,-0.0541,4,0.0003
002123.SZ,20250930,-0.07,-0.0342,-0.5111,-0.4296,7,0.0018
300674.SZ,20250930,0.41,0.8116,0.9796,-0.0611,7,0.0823
688667.SH,20250930,1.44,2.8498,0.979,0.0928,30,0.0325
600793.SH,20250930,0.0853,0.0641,-0.249,0.0652,4,0.0029
300407.SZ,20250930,0.22,0.4601,1.0912,0.2389,6,0.0229
002210.SZ,20250930,0.0054,0.0034,-0.3722,-0.2596,11,0.0002
603800.SH,20250930,0.3096,0.1624,-0.4755,-0.1379,3,0.0103
