trade_date,ts_code,sector,total_mv,pb,momentum_20d
20190102,600099.SH,汽车,125774.8800,2.6715,-0.1183
20190102,600110.SH,电气设备,463575.7751,2.2249,-0.1123
20190102,600114.SH,机械设备,405402.8133,1.5363,-0.1217
20190102,600148.SH,汽车,200811.8426,4.9281,-0.0863
20190102,600150.SH,国防军工,1827383.9349,1.2249,-0.0293
20190102,600166.SH,汽车,1187283.3696,0.6985,-0.0532
20190102,600170.SH,建筑装饰,2715841.3070,1.1505,0.0033
20190102,600172.SH,机械设备,451753.3040,0.9261,-0.2052
20190102,600182.SH,汽车,494020.0000,5.4905,-0.1463
20190102,600186.SH,食品饮料,201784.6191,,-0.1204
20190102,600198.SH,通信,607772.7372,,0.0088
20190102,600218.SH,汽车,164833.4850,0.8529,-0.1183
20190102,600262.SH,机械设备,294950.0000,2.6532,-0.0606
20190102,600271.SH,计算机,4285646.6699,4.3180,-0.0941
20190102,600302.SH,机械设备,150514.2647,1.2784,-0.0136
20190102,600303.SH,汽车,262134.4339,0.8822,-0.1281
20190102,600325.SH,房地产,1296187.3070,1.0441,-0.0208
20190102,600326.SH,建筑材料,572884.5456,1.9215,-0.0597
20190102,600343.SH,机械设备,490780.6816,2.2368,-0.0942
20190102,600382.SH,钢铁,359455.0513,0.6697,-0.1501
20190102,600419.SH,食品饮料,279604.4643,3.0681,-0.0946
20190102,600421.SH,机械设备,148460.4000,1162.0656,0.0751
20190102,600435.SH,国防军工,1140819.1200,5.4759,-0.0254
20190102,600444.SH,机械设备,140857.8986,2.5894,-0.0578
20190102,600480.SH,汽车,345853.9342,0.8810,-0.0898
20190102,600482.SH,电气设备,3774066.7658,1.4569,-0.0364
20190102,600502.SH,建筑装饰,607569.5760,0.9219,-0.0972
20190102,600512.SH,建筑装饰,346961.9145,0.8174,-0.0766
20190102,600517.SH,非银金融,431261.3677,1.3252,-0.1543
20190102,600520.SH,机械设备,205642.1400,4.8098,-0.0546
20190102,600530.SH,食品饮料,341640.0000,2.2650,-0.1657
20190102,600536.SH,计算机,1041054.6561,5.6435,-0.1543
20190102,600538.SH,医药生物,196906.1024,3.0136,-0.0493
20190102,600545.SH,机械设备,1398814.7903,5.0299,-0.0186
20190102,600558.SH,机械设备,282745.5218,1.4677,-0.1152
20190102,600560.SH,机械设备,187638.5745,2.4905,0.0540
20190102,600562.SH,国防军工,794741.8682,4.4960,-0.1475
20190102,600590.SH,国防军工,466935.0446,1.2199,-0.1061
20190102,600592.SH,机械设备,213761.1605,1.1690,-0.0823
20190102,600610.SH,化工,193900.7035,145.6230,0.0904
20190102,600667.SH,建筑装饰,1078369.3711,1.7309,-0.1661
20190102,600679.SH,汽车,403405.5438,2.9856,-0.1376
20190102,600699.SH,汽车,2190959.0120,1.5275,-0.0212
20190102,600728.SH,计算机,1110489.8879,3.3719,-0.1510
20190102,600743.SH,房地产,574794.7141,0.7790,-0.0649
