Date,Open,High,Low,Close,Volume
20180102 00:00,126100,127700,126000,127200,31323053
20180103 00:00,127300,128000,126600,126600,37839101
20180104 00:00,127000,127300,126200,126600,27883804
20180105 00:00,126700,127100,126200,126900,31026744
20180108 00:00,126900,127100,126300,126800,31389887
20180109 00:00,126800,127400,126600,127000,26215432
20180110 00:00,127000,130900,126800,130200,90679990
20180111 00:00,129500,130400,128700,129400,37816412
20180112 00:00,129700,130000,129000,129100,24203419
20180115 00:00,128800,130800,128500,130200,61320680
20180116 00:00,129700,130600,127800,129000,74892652
20180117 00:00,129100,134200,128900,131000,127132813
20180118 00:00,131400,132500,130500,132400,111608076
20180119 00:00,133300,136100,131800,132400,171648871
20180122 00:00,129300,131500,127100,127700,272513801
20180123 00:00,127500,129200,126800,129000,217827457
20180124 00:00,129700,140000,128900,135700,379653629
20180125 00:00,135400,137600,133600,136500,176989631
20180126 00:00,136500,137200,133600,134100,218419685
20180129 00:00,134800,135300,133200,134600,153783104
20180130 00:00,134500,134900,130900,131100,107804018
20180131 00:00,130500,131900,129800,131700,117703264
20180201 00:00,131400,133300,129400,133000,173573331
20180202 00:00,131900,131900,130100,131400,71796780
20180205 00:00,130000,135400,129800,134900,150149657
20180206 00:00,132900,135000,132000,134800,244358992
20180207 00:00,135800,139000,132400,134500,200770115
20180208 00:00,133400,134000,129500,131000,109426872
20180209 00:00,128900,129800,122400,127800,149257356
20180212 00:00,126600,126800,124300,124900,64799197
20180213 00:00,125500,126800,125000,125100,54900214
20180214 00:00,125000,125500,123800,124600,32597811
20180222 00:00,126000,126800,125300,126300,42012285
20180223 00:00,126600,127800,125900,127200,38736515
20180226 00:00,127700,128400,126100,127300,48806055
20180227 00:00,127500,127600,126100,126900,48561087
20180228 00:00,126100,126600,124400,124600,39888938
20180301 00:00,124000,125000,123800,124700,34491031
20180302 00:00,124000,124600,123600,124100,23024132
20180305 00:00,124100,124800,123400,124200,29343464
20180306 00:00,124800,125100,123800,124900,27222668
20180307 00:00,125100,126000,124600,124900,38817575
20180308 00:00,125500,125500,124000,124700,22164132
20180309 00:00,124900,125100,124200,124800,23558287
20180312 00:00,125300,125400,124600,125000,25161821
20180313 00:00,125000,125800,124300,124900,25145000
20180314 00:00,124500,124500,123800,123900,22804603
20180315 00:00,123500,124100,123400,123900,17287774
20180316 00:00,123600,124000,123000,123000,26781399
20180319 00:00,123100,123300,122600,123100,16896048
20180320 00:00,122800,123900,122500,123200,20672283
20180321 00:00,123400,124000,122800,122900,23878465
20180322 00:00,123500,123500,122500,122500,22948484
20180323 00:00,120000,120600,116400,117100,57106391
20180326 00:00,117100,117500,115000,116100,36425054
20180327 00:00,117000,117700,115600,116200,27332809
20180328 00:00,115300,117500,115200,115700,22911282
20180329 00:00,115700,117100,114500,116200,33108805
20180330 00:00,116300,116900,116100,116500,23271965
20180402 00:00,116800,118200,116500,117100,27719599
20180403 00:00,116600,116700,115400,115600,18303514
20180404 00:00,116100,116500,115300,115300,19637509
20180409 00:00,115300,115900,114900,115000,16722481
20180410 00:00,115200,117900,115100,117700,28748298
20180411 00:00,117900,120200,117500,119100,31298519
20180412 00:00,119100,119600,117600,117800,18824289
20180413 00:00,118300,118900,116900,116900,14094853
20180416 00:00,118000,118000,115400,115500,23720095
20180417 00:00,115600,117000,115500,115500,25469983
20180418 00:00,117500,117900,116600,117300,26295275
20180419 00:00,118000,118900,117600,118000,16553270
20180420 00:00,117400,117900,115700,116100,18377407
20180423 00:00,115600,117500,115300,116000,18181610
20180424 00:00,115600,117800,115600,117800,23032861
20180425 00:00,117100,117700,116500,116600,16082634
20180426 00:00,117300,117800,115500,115700,18205794
20180427 00:00,115800,116700,115500,116100,23450783
