ts_code,end_date,ann_date,roe,roa,roic,grossprofit_margin,current_ratio,quick_ratio,netprofit_margin,debt_to_assets,assets_turn,accruals_ratio
000001.SZ,20250930,20251025,7.5711,0.68,0.884,95.21,0.0592,0.0414,38.08,91.02,0.0175,-0.9786
000001.SZ,20250630,20250823,4.9497,0.4297,0.5587,89.61,0.057,0.0399,35.84,91.32,0.0119,-6.6271
000001.SZ,20250331,20250419,2.8165,0.2467,0.3207,104.54,0.0576,0.0403,41.82,91.24,0.0058,-12.5484
000001.SZ,20250331,20250419,2.8165,0.2467,0.3207,104.54,0.0576,0.0403,41.82,91.24,0.0058,-12.5484
000002.SZ,20250930,20251031,-14.8067,-3.9216,-5.0981,-43.74,0.2162,0.1513,-17.5,73.51,0.1332,-0.7907
000002.SZ,20250630,20250823,-6.0626,-1.6305,-2.1197,-25.79,0.2207,0.1545,-10.32,73.11,0.0849,-0.7472
000002.SZ,20250331,20250430,-3.1278,-0.8296,-1.0785,-42.21,0.2166,0.1516,-16.88,73.48,0.03,-0.0784
000002.SZ,20250331,20250430,-3.1278,-0.8296,-1.0785,-42.21,0.2166,0.1516,-16.88,73.48,0.03,-0.0784
000004.SZ,20250930,20251031,-53.6525,-9.1109,-11.8442,-168.12,0.1227,0.0859,-67.25,83.02,0.1785,-0.5435
000004.SZ,20250630,20250823,-97.0376,-10.6507,-13.846,-386.75,0.074,0.0518,-154.7,89.02,0.0965,-0.2971
000004.SZ,20250630,20250823,-97.0376,-10.6507,-13.846,-386.75,0.074,0.0518,-154.7,89.02,0.0965,-0.2971
000004.SZ,20250331,20250429,-20.0864,-4.2778,-5.5612,-167.55,0.1624,0.1137,-67.02,78.7,0.0609,1.2197
000006.SZ,20250930,20251030,-0.1296,-0.0464,-0.0603,0.97,0.3343,0.234,0.39,64.22,0.1278,
000006.SZ,20250630,20250829,-1.3221,-0.4614,-0.5999,-9.63,0.3217,0.2252,-3.85,65.1,0.113,
000006.SZ,20250630,20250829,-1.3221,-0.4614,-0.5999,-9.63,0.3217,0.2252,-3.85,65.1,0.113,-11.2414
000006.SZ,20250331,20250426,-0.4811,-0.1766,-0.2296,-3.73,0.3481,0.2437,-1.49,63.28,0.0991,-1.0625
000007.SZ,20250930,20251031,1.8888,1.0046,1.306,2.05,0.6817,0.4772,0.82,46.81,0.8699,
000007.SZ,20250630,20250830,1.8725,1.1536,1.4997,3.67,0.9628,0.674,1.47,38.39,0.6097,
000007.SZ,20250331,20250430,0.9839,0.6103,0.7933,4.19,0.98,0.686,1.68,37.98,0.3028,
000007.SZ,20241231,20250425,36.996,22.2288,28.8974,45.93,0.9032,0.6322,18.37,39.92,0.8571,-2.6069
000008.SZ,20250930,20251027,-2.926,-0.9698,-1.2607,-19.51,0.2974,0.2082,-7.81,66.86,0.1192,-0.5389
000008.SZ,20250630,20250827,-3.185,-1.0388,-1.3505,-41.58,0.2904,0.2033,-16.63,67.38,0.0597,-0.3229
000008.SZ,20250331,20250429,-1.416,-0.4346,-0.5649,-46.4,0.2657,0.186,-18.56,69.31,0.0223,0.2548
000008.SZ,20250331,20250429,-1.416,-0.4346,-0.5649,-46.4,0.2657,0.186,-18.56,69.31,0.0223,0.2548
000009.SZ,20250930,20251031,2.8333,1.145,1.4885,19.61,0.4069,0.2848,7.84,59.59,0.3047,0.1184
000009.SZ,20250630,20250829,2.443,0.9757,1.2684,19.43,0.399,0.2793,7.77,60.06,0.1974,0.9249
