ts_code,trade_date,name,close,pct_change,vol,amount,pe,pb,total_mv
801995.SI,20001229,电视广播Ⅱ,1314.89,0.41,392.0,8641.0,88.84,4.59,2635720.0
801994.SI,20001229,教育,1477.29,0.5,208.0,4746.0,69.47,11.84,1376807.0
801993.SI,20001229,旅游及景区,1608.13,1.46,708.0,13453.0,75.17,6.53,2395656.0
801992.SI,20001229,航运港口,1542.16,0.76,2147.0,30309.0,63.62,4.82,5515657.0
801991.SI,20001229,航空机场,1242.23,1.15,464.0,5932.0,39.22,3.76,5493282.0
801981.SI,20001229,个护用品,1696.72,2.21,146.0,1610.0,167.41,4.4,254120.0
801980.SI,20001229,美容护理,1572.2,1.36,236.0,2775.0,77.8,4.05,454572.0
801972.SI,20001229,环保设备Ⅱ,1306.07,0.39,26.0,563.0,66.65,6.36,593064.0
801971.SI,20001229,环境治理,1549.7,0.82,1988.0,28577.0,90.04,5.88,9910070.0
801970.SI,20001229,环保,1518.29,0.78,2014.0,29141.0,87.14,5.92,10503135.0
801963.SI,20001229,炼化及贸易,1898.78,1.27,932.0,12848.0,62.48,5.42,8011251.0
801962.SI,20001229,油服工程,1359.62,0.93,113.0,739.0,34.49,2.99,1692600.0
801960.SI,20001229,石油石化,1814.74,1.15,1316.0,16366.0,62.84,5.12,10820184.0
801952.SI,20001229,焦炭Ⅱ,1615.68,0.89,197.0,2987.0,65.1,5.04,800866.0
801951.SI,20001229,煤炭开采,1719.98,0.3,1378.0,16141.0,85.43,6.96,7871637.0
801950.SI,20001229,煤炭,1704.28,0.38,1575.0,19129.0,83.53,6.63,8672503.0
801783.SI,20001229,股份制银行Ⅱ,914.42,0.98,732.0,12290.0,67.21,4.96,10805571.0
801769.SI,20001229,出版,1336.7,0.92,347.0,5107.0,94.76,3.59,2031326.0
801767.SI,20001229,数字媒体,1975.4,2.41,157.0,3369.0,177.11,7.96,1551923.0
801766.SI,20001229,影视院线,1717.68,2.44,185.0,3215.0,77.81,7.72,1598802.0
801765.SI,20001229,广告营销,2171.28,0.94,438.0,8697.0,122.53,8.51,1847105.0
801764.SI,20001229,游戏Ⅱ,1743.41,1.83,406.0,7923.0,173.03,8.96,1775673.0
801745.SI,20001229,军工电子Ⅱ,1214.55,1.73,140.0,2568.0,100.18,4.88,954923.0
801738.SI,20001229,电网设备,1566.61,0.39,2352.0,32984.0,47.78,7.55,6056209.0
801737.SI,20001229,电池,1659.13,1.29,1365.0,13568.0,71.61,4.68,2306923.0
801735.SI,20001229,光伏设备,2397.97,3.28,480.0,12365.0,36.63,6.89,2495190.0
801726.SI,20001229,工程咨询服务Ⅱ,1713.15,0.76,250.0,2673.0,45.22,3.62,345380.0
801219.SI,20001229,酒店餐饮,1602.13,-0.76,468.0,5685.0,115.19,6.66,1968516.0
801218.SI,20001229,专业服务,1498.94,0.45,48.0,747.0,68.53,5.77,438870.0
801183.SI,20001229,房地产服务,1613.09,-0.02,154.0,1846.0,33.77,7.53,595367.0
801179.SI,20001229,铁路公路,2091.13,1.71,2391.0,36239.0,56.49,5.36,11743360.0
801133.SI,20001229,饰品,2232.99,1.65,361.0,5932.0,188.51,7.08,1361239.0
801129.SI,20001229,调味发酵品Ⅱ,1578.67,0.84,826.0,8501.0,50.51,4.26,1543136.0
801128.SI,20001229,休闲食品,1173.47,1.22,73.0,1078.0,653.89,5.65,204039.0
801127.SI,20001229,饮料乳品,1345.52,0.95,280.0,4360.0,44.22,4.34,1934424.0
801126.SI,20001229,非白酒,1271.02,0.36,709.0,12058.0,54.09,4.21,3821080.0
801125.SI,20001229,白酒Ⅱ,1395.41,1.07,1081.0,17502.0,37.43,5.16,6525043.0
801116.SI,20001229,家电零部件Ⅱ,1587.48,-0.11,121.0,1733.0,81.89,5.82,578362.0
801115.SI,20001229,照明设备Ⅱ,1483.75,0.5,180.0,2716.0,38.42,3.35,625240.0
801104.SI,20001229,软件开发,1708.41,2.84,704.0,13343.0,54.29,7.29,3065126.0
801103.SI,20001229,IT服务Ⅱ,1716.3,0.79,679.0,12924.0,96.8,11.5,6225816.0
801096.SI,20001229,商用车,1460.09,1.99,1580.0,15474.0,35.55,2.94,3943474.0
801095.SI,20001229,乘用车,1463.39,1.47,1390.0,15562.0,33.34,4.64,4205905.0
801078.SI,20001229,自动化设备,2463.68,0.28,53.0,3164.0,291.36,12.37,1067100.0
801077.SI,20001229,工程机械,2290.07,2.78,1017.0,13588.0,89.74,5.39,2567127.0
801056.SI,20001229,能源金属,1693.36,-0.25,57.0,1045.0,198.07,7.72,466957.0
801045.SI,20001229,特钢Ⅱ,1147.52,0.5,346.0,2346.0,30.79,2.68,1388041.0
801044.SI,20001229,普钢,1690.16,0.5,4018.0,33720.0,26.76,2.72,17885985.0
801043.SI,20001229,冶钢原料,1489.71,0.88,217.0,2167.0,26.56,2.44,1190915.0
801038.SI,20001229,农化制品,1546.2,0.26,1186.0,17453.0,56.01,5.25,4401140.0
801995.SI,20001228,电视广播Ⅱ,1309.49,-1.07,281.0,6425.0,88.69,4.57,2629997.0
801994.SI,20001228,教育,1469.94,-1.1,265.0,6064.0,69.24,11.78,1370370.0
801993.SI,20001228,旅游及景区,1584.93,0.33,510.0,9359.0,73.94,6.44,2364327.0
801992.SI,20001228,航运港口,1530.49,0.57,1581.0,21404.0,63.13,4.78,5490945.0
801991.SI,20001228,航空机场,1228.07,0.14,645.0,9355.0,38.82,3.78,5430534.0
801981.SI,20001228,个护用品,1659.97,1.21,194.0,2104.0,163.78,4.3,248616.0
801980.SI,20001228,美容护理,1551.13,0.6,288.0,3322.0,76.76,4.0,448293.0
801972.SI,20001228,环保设备Ⅱ,1301.04,0.58,91.0,1509.0,66.39,6.33,590329.0
801971.SI,20001228,环境治理,1537.14,-0.41,1815.0,26199.0,89.36,5.83,9836179.0
801970.SI,20001228,环保,1506.51,-0.33,1906.0,27708.0,86.52,5.87,10426508.0
801963.SI,20001228,炼化及贸易,1875.03,0.37,1954.0,30128.0,61.7,5.35,7891336.0
801962.SI,20001228,油服工程,1347.09,0.16,92.0,595.0,34.17,2.96,1677000.0
801960.SI,20001228,石油石化,1794.13,0.31,2481.0,35130.0,62.13,5.06,10678815.0
801952.SI,20001228,焦炭Ⅱ,1601.43,1.11,236.0,3671.0,64.73,5.0,793566.0
801951.SI,20001228,煤炭开采,1714.89,-0.91,1612.0,20295.0,85.18,6.94,7947027.0
801950.SI,20001228,煤炭,1697.86,-0.64,1848.0,23966.0,83.27,6.61,8740593.0
801783.SI,20001228,股份制银行Ⅱ,905.53,-0.3,1211.0,20096.0,66.56,4.91,10711654.0
801769.SI,20001228,出版,1324.49,-0.37,370.0,5140.0,93.13,3.56,2005388.0
801767.SI,20001228,数字媒体,1929.0,-0.13,133.0,2865.0,172.95,7.77,1509374.0
801766.SI,20001228,影视院线,1676.75,-0.6,150.0,2364.0,75.96,7.53,1559273.0
801765.SI,20001228,广告营销,2151.16,0.49,304.0,5829.0,121.75,8.43,1831294.0
801764.SI,20001228,游戏Ⅱ,1712.01,-0.83,832.0,18163.0,169.88,8.68,1739242.0
801745.SI,20001228,军工电子Ⅱ,1193.95,-0.9,229.0,4396.0,98.48,4.8,938413.0
801738.SI,20001228,电网设备,1560.49,0.57,2034.0,31762.0,47.61,7.52,6023365.0
801737.SI,20001228,电池,1637.92,0.87,785.0,8773.0,70.69,4.62,2280543.0
801735.SI,20001228,光伏设备,2321.8,-0.72,722.0,18496.0,35.45,6.66,2420456.0
801726.SI,20001228,工程咨询服务Ⅱ,1700.28,-0.22,362.0,3798.0,45.02,3.6,342496.0
801219.SI,20001228,酒店餐饮,1614.35,0.12,395.0,5312.0,116.17,6.71,2003740.0
801218.SI,20001228,专业服务,1492.24,-0.57,43.0,672.0,68.22,5.75,436907.0
801183.SI,20001228,房地产服务,1613.36,-0.53,271.0,3639.0,33.91,7.54,595810.0
801179.SI,20001228,铁路公路,2056.0,0.35,2541.0,39901.0,55.5,5.27,11508287.0
801133.SI,20001228,饰品,2196.64,-1.81,641.0,9800.0,185.44,6.96,1341480.0
801129.SI,20001228,调味发酵品Ⅱ,1565.48,-1.0,599.0,6550.0,50.09,4.22,1531367.0
801128.SI,20001228,休闲食品,1159.27,0.2,86.0,1264.0,645.98,5.58,201570.0
801127.SI,20001228,饮料乳品,1332.81,0.29,285.0,4367.0,43.8,4.3,1919513.0
801126.SI,20001228,非白酒,1266.52,-0.28,623.0,9968.0,53.89,4.19,3802211.0
801125.SI,20001228,白酒Ⅱ,1380.69,0.33,1147.0,19764.0,37.04,5.11,6454824.0
801116.SI,20001228,家电零部件Ⅱ,1589.27,-0.78,136.0,2012.0,81.98,5.83,581436.0
801115.SI,20001228,照明设备Ⅱ,1476.38,0.49,123.0,2168.0,38.23,3.33,621890.0
801104.SI,20001228,软件开发,1661.21,0.0,593.0,9899.0,52.74,7.09,2979777.0
801103.SI,20001228,IT服务Ⅱ,1702.79,0.43,734.0,14955.0,96.22,11.41,6171870.0
801096.SI,20001228,商用车,1431.55,0.4,950.0,8463.0,34.86,2.88,3863160.0
801095.SI,20001228,乘用车,1442.12,0.54,1316.0,12061.0,32.81,4.57,4147940.0
801078.SI,20001228,自动化设备,2456.69,0.66,43.0,2128.0,290.54,12.33,1064079.0
801077.SI,20001228,工程机械,2228.21,-0.65,796.0,11218.0,87.32,5.24,2519670.0
801056.SI,20001228,能源金属,1697.56,-1.31,39.0,734.0,198.56,7.74,466947.0
801045.SI,20001228,特钢Ⅱ,1141.76,-0.23,466.0,3127.0,30.63,2.67,1381222.0
801044.SI,20001228,普钢,1681.8,1.5,5045.0,43216.0,26.18,2.68,17782236.0
801043.SI,20001228,冶钢原料,1476.65,-0.19,245.0,2442.0,26.33,2.42,1180513.0
801038.SI,20001228,农化制品,1542.2,-0.66,848.0,13004.0,55.84,5.24,4387399.0
801995.SI,20001227,电视广播Ⅱ,1323.7,0.4,338.0,6498.0,89.52,4.62,2675220.0
801994.SI,20001227,教育,1486.35,-1.55,361.0,8149.0,70.36,11.92,1391946.0
801993.SI,20001227,旅游及景区,1579.69,-1.5,872.0,16306.0,73.8,6.41,2359763.0
801992.SI,20001227,航运港口,1521.88,-0.82,1145.0,15535.0,62.78,4.76,5475799.0
